"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"FAM107B"	2.96027659938019e-06	0.392652797695097	0.531	0.355	0.0786338273093359	"1"	"FAM107B"
"SLC4A7"	3.06684808531779e-06	0.34638795315447	0.417	0.262	0.0814646856902964	"1"	"SLC4A7"
"CD99"	3.10580065181272e-06	0.290850561541061	0.754	0.601	0.0824993827141013	"1"	"CD99"
"RP11-289I10.2"	3.2673318453105e-06	0.439107506920582	0.353	0.21	0.0867901358069829	"1"	"RP11-289I10.2"
"RQCD1"	3.64131022812588e-06	0.334236804099004	0.728	0.55	0.0967241235897077	"1"	"RQCD1"
"NMRK1"	3.70166483430594e-06	0.508320571837827	0.311	0.179	0.0983273229936687	"1"	"NMRK1"
"RP11-274E7.2"	3.85370999752853e-06	0.301828054277803	0.573	0.399	0.10236609866435	"1"	"RP11-274E7.2"
"CTD-2031P19.5"	3.95176673091088e-06	0.393144619114653	0.256	0.136	0.104970779673186	"1"	"CTD-2031P19.5"
"TC2N"	4.02275160094347e-06	0.423328904446119	0.314	0.176	0.106856350775861	"1"	"TC2N"
"PDIA3P"	4.07694687930898e-06	0.289451584291699	0.518	0.349	0.108295939955084	"1"	"PDIA3P"
"AC016739.2"	4.34857468668786e-06	0.26324661514156	0.757	0.609	0.11551118940249	"1"	"AC016739.2"
"CLNS1A"	4.39753631150229e-06	0.424073552910898	0.492	0.323	0.116811757042435	"1"	"CLNS1A"
"RPSAP53"	4.62361063275991e-06	0.290669139420271	0.447	0.295	0.122816969238001	"1"	"RPSAP53"
"RP11-673C5.1"	4.66239540097873e-06	0.336675468174014	0.641	0.451	0.123847209036198	"1"	"RP11-673C5.1"
"INPP4B"	5.0939706927509e-06	0.381151907596024	0.612	0.413	0.135311143511542	"1"	"INPP4B"
"CD2BP2"	5.15309812545069e-06	0.422078819511369	0.495	0.329	0.136881745506347	"1"	"CD2BP2"
"RP11-51O6.1"	5.32801098874225e-06	0.254118249819532	0.851	0.684	0.14152795589396	"1"	"RP11-51O6.1"
"GALNT2"	5.39251162702924e-06	0.416391541594532	0.298	0.169	0.143241286348778	"1"	"GALNT2"
"CCDC6"	5.40791217130227e-06	0.410974419634805	0.285	0.163	0.143650371006302	"1"	"CCDC6"
"AP2S1"	5.42533403012403e-06	0.48090190098536	0.398	0.233	0.144113147842185	"1"	"AP2S1"
"CCL5"	5.68145337793946e-06	0.50968470882035	0.408	0.279	0.150916446078206	"1"	"CCL5"
"NUTM2A-AS1"	6.06474525536679e-06	0.377042543658001	0.482	0.321	0.161097828218308	"1"	"NUTM2A-AS1"
"TOMM22"	6.38112232152938e-06	0.486271270104638	0.427	0.288	0.169501752226785	"1"	"TOMM22"
"ARID1A"	6.41551256458384e-06	0.273549617791911	0.573	0.385	0.17041526025304	"1"	"ARID1A"
"RTFDC1"	6.45797557879729e-06	0.449530451393166	0.495	0.324	0.171543205299592	"1"	"RTFDC1"
