"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"OAS2"	0.000302343744518646	-0.459366891497076	0.215	0.327	1
"RPN1"	0.000309154616421838	-0.344997892193313	0.454	0.555	1
"GPR174"	0.000310217357029629	-0.420924793046626	0.195	0.312	1
"FTH1P23"	0.000335725132543855	-0.319101231536384	0.151	0.266	1
"ANKHD1-EIF4EBP3"	0.000336067450394917	0.342312844233881	0.187	0.104	1
"SYTL3"	0.000352862703414563	-0.4181110799895	0.319	0.434	1
"RP4-583P15.14"	0.000355057806657339	0.436324811400147	0.291	0.198	1
"TSPAN32"	0.000357644659826008	0.487941802718341	0.135	0.067	1
"STOM"	0.000364370230307884	-0.445118820509743	0.219	0.336	1
"SHISA5"	0.000364759793649325	-0.289430916698933	0.478	0.581	1
"ATM"	0.000367248086361483	0.335848287692911	0.438	0.319	1
"NOTCH1"	0.000369741090294764	0.349247556802585	0.351	0.241	1
"HERC5"	0.000375879302136542	-0.479508797258262	0.064	0.148	1
"TIMP1"	0.000376362658717095	-0.516868435741868	0.116	0.219	1
"POM121"	0.000381730536189958	0.292990311589141	0.406	0.286	1
"UAP1"	0.000383036577512879	0.474497209212763	0.131	0.065	1
"NAIP"	0.000384234841888957	0.361250301259603	0.207	0.119	1
"LGALS3"	0.000386982993961462	-0.462366116374558	0.199	0.306	1
"RP11-290L1.3"	0.000392444286028245	-0.369105485579435	0.311	0.445	1
"MYO18A"	0.000396033897776995	-0.391377708827657	0.235	0.348	1
"NUDT5"	0.000418830531645277	-0.405004026115077	0.227	0.354	1
"TRIM59"	0.000421651655348228	-0.380143027815728	0.315	0.422	1
"TAP2"	0.000422470178379103	-0.366975515786541	0.199	0.313	1
"SEC14L1"	0.000423314286383654	-0.404922861424493	0.219	0.336	1
"OASL"	0.000423727537046893	-0.479416037110125	0.163	0.269	1
"TMEM248"	0.000433304568002027	0.441177484346639	0.183	0.104	1
"SNX29P2"	0.000451626232138866	0.25540523681043	0.713	0.63	1
"SFPQ"	0.000453247414246246	0.305140381880895	0.59	0.487	1
"MTRNR2L1"	0.000457943495572519	0.281965502147001	0.721	0.736	1
"LCORL"	0.000466166726754765	0.303178672615526	0.135	0.066	1
"ALMS1"	0.000494028991416116	0.425888338639013	0.135	0.069	1
"PHLDA1"	0.000512973770302033	-0.298907233751817	0.446	0.603	1
"NPHP3"	0.000533637748252298	0.297425063264561	0.139	0.069	1
"CMC2"	0.000533752624957307	-0.415957961915299	0.263	0.365	1
"TMUB2"	0.000534206534119694	-0.470015042715132	0.108	0.205	1
"CSNK2A2"	0.000541792419245635	0.363542943665735	0.319	0.217	1
"NPIPB6"	0.00054192033750739	0.271350148083567	0.151	0.079	1
"HIVEP2"	0.00054525640570443	0.381818818027453	0.351	0.254	1
"SP110"	0.000548950102474539	-0.269542209620651	0.474	0.573	1
"NCF4"	0.000549406428799527	-0.41771272977547	0.219	0.326	1
"FRMD4B"	0.000556989953931403	-0.442727734242671	0.155	0.263	1
"TNFRSF10B"	0.000560142301799763	0.487810771758236	0.187	0.109	1
"PRKCQ-AS1"	0.000571421218016738	0.427549268854533	0.143	0.073	1
